"subject_no" "activity" "variable" "average"
"70" 1 "LAYING" "tBodyGyrostd()Y" -0.9510904402
"71" 1 "LAYING" "tBodyGyrostd()Z" -0.9082846626
"72" 1 "LAYING" "tGravityAccMagmean()" -0.8419291525
"73" 1 "LAYING" "tGravityAccMagstd()" -0.79514486386
"74" 1 "LAYING" "tGravityAccmean()X" -0.24888179828
"75" 1 "LAYING" "tGravityAccmean()Y" 0.70554977346
"76" 1 "LAYING" "tGravityAccmean()Z" 0.4458177198
"77" 1 "LAYING" "tGravityAccstd()X" -0.8968300184
"78" 1 "LAYING" "tGravityAccstd()Y" -0.90772000676
"79" 1 "LAYING" "tGravityAccstd()Z" -0.85236629022
"80" 1 "SITTING" "fBodyAccJerkmean()X" -0.986597022553191
"81" 1 "SITTING" "fBodyAccJerkmean()Y" -0.981579467021277
"82" 1 "SITTING" "fBodyAccJerkmean()Z" -0.986053092340425
"83" 1 "SITTING" "fBodyAccJerkmeanFreq()X" 0.256610823568085
"84" 1 "SITTING" "fBodyAccJerkmeanFreq()Y" 0.0475437839595745
"85" 1 "SITTING" "fBodyAccJerkmeanFreq()Z" 0.0923920032553192
"86" 1 "SITTING" "fBodyAccJerkstd()X" -0.987492994468085
"87" 1 "SITTING" "fBodyAccJerkstd()Y" -0.982513909574468
"88" 1 "SITTING" "fBodyAccJerkstd()Z" -0.988339184893617
"89" 1 "SITTING" "fBodyAccMagmean()" -0.947782922553192
"90" 1 "SITTING" "fBodyAccMagmeanFreq()" 0.236655011680851
"91" 1 "SITTING" "fBodyAccMagstd()" -0.928444801702128
"92" 1 "SITTING" "fBodyAccmean()X" -0.979641238723404
"93" 1 "SITTING" "fBodyAccmean()Y" -0.944084550425532
"94" 1 "SITTING" "fBodyAccmean()Z" -0.959184889148936
"95" 1 "SITTING" "fBodyAccmeanFreq()X" -0.0495135975489362
"96" 1 "SITTING" "fBodyAccmeanFreq()Y" 0.0759460768510638
"97" 1 "SITTING" "fBodyAccmeanFreq()Z" 0.238829870148936
"98" 1 "SITTING" "fBodyAccstd()X" -0.976412313191489
"99" 1 "SITTING" "fBodyAccstd()Y" -0.917275006382979
"100" 1 "SITTING" "fBodyAccstd()Z" -0.934469558085106
"101" 1 "SITTING" "fBodyBodyAccJerkMagmean()" -0.985262126808511
"102" 1 "SITTING" "fBodyBodyAccJerkMagmeanFreq()" 0.351852201957447
"103" 1 "SITTING" "fBodyBodyAccJerkMagstd()" -0.981606177446808
"104" 1 "SITTING" "fBodyBodyGyroJerkMagmean()" -0.989797547234043
"105" 1 "SITTING" "fBodyBodyGyroJerkMagmeanFreq()" 0.184775928085106
"106" 1 "SITTING" "fBodyBodyGyroJerkMagstd()" -0.987049617234043
"107" 1 "SITTING" "fBodyBodyGyroMagmean()" -0.958435589361702
"108" 1 "SITTING" "fBodyBodyGyroMagmeanFreq()" -0.000262186717021277
"109" 1 "SITTING" "fBodyBodyGyroMagstd()" -0.932198374893617
"110" 1 "SITTING" "fBodyGyromean()X" -0.976161464042553
"111" 1 "SITTING" "fBodyGyromean()Y" -0.975838585319149
"112" 1 "SITTING" "fBodyGyromean()Z" -0.951315544468085
"113" 1 "SITTING" "fBodyGyromeanFreq()X" 0.189153021260851
"114" 1 "SITTING" "fBodyGyromeanFreq()Y" 0.0631270669787234
"115" 1 "SITTING" "fBodyGyromeanFreq()Z" -0.0297839207446809
"116" 1 "SITTING" "fBodyGyrostd()X" -0.977904227021277
"117" 1 "SITTING" "fBodyGyrostd()Y" -0.962345042553192
"118" 1 "SITTING" "fBodyGyrostd()Z" -0.94391784106383
"119" 1 "SITTING" "tBodyAccJerkMagmean()" -0.987364195531915
"120" 1 "SITTING" "tBodyAccJerkMagstd()" -0.984120024042553
"121" 1 "SITTING" "tBodyAccJerkmean()X" 0.0774825199574468
"122" 1 "SITTING" "tBodyAccJerkmean()Y" -0.000619102785106384
"123" 1 "SITTING" "tBodyAccJerkmean()Z" -0.00336779235021277
"124" 1 "SITTING" "tBodyAccJerkstd()X" -0.986430711276596
"125" 1 "SITTING" "tBodyAccJerkstd()Y" -0.981371965319149
"126" 1 "SITTING" "tBodyAccJerkstd()Z" -0.987910804468085
"127" 1 "SITTING" "tBodyAccMagmean()" -0.948536786170213
"128" 1 "SITTING" "tBodyAccMagstd()" -0.927078418723404
"129" 1 "SITTING" "tBodyAccmean()X" 0.261237565425532
"130" 1 "SITTING" "tBodyAccmean()Y" -0.00130828765170213
"131" 1 "SITTING" "tBodyAccmean()Z" -0.104544182255319
"132" 1 "SITTING" "tBodyAccstd()X" -0.977229008297872
"133" 1 "SITTING" "tBodyAccstd()Y" -0.922618641914894
"134" 1 "SITTING" "tBodyAccstd()Z" -0.93958629106383
"135" 1 "SITTING" "tBodyGyroJerkMagmean()" -0.991976341276596
"136" 1 "SITTING" "tBodyGyroJerkMagstd()" -0.988308728510638
"137" 1 "SITTING" "tBodyGyroJerkmean()X" -0.0936793807234043
"138" 1 "SITTING" "tBodyGyroJerkmean()Y" -0.0402118124255319
"139" 1 "SITTING" "tBodyGyroJerkmean()Z" -0.046702627
"140" 1 "SITTING" "tBodyGyroJerkstd()X" -0.99173159212766
"141" 1 "SITTING" "tBodyGyroJerkstd()Y" -0.989518068510638
"142" 1 "SITTING" "tBodyGyroJerkstd()Z" -0.987935806382979
"143" 1 "SITTING" "tBodyGyroMagmean()" -0.93089249
"144" 1 "SITTING" "tBodyGyroMagstd()" -0.934531840425532
"145" 1 "SITTING" "tBodyGyromean()X" -0.045350056512766
"146" 1 "SITTING" "tBodyGyromean()Y" -0.0919241549361702
"147" 1 "SITTING" "tBodyGyromean()Z" 0.0629313811914894
"148" 1 "SITTING" "tBodyGyrostd()X" -0.977211283191489
"149" 1 "SITTING" "tBodyGyrostd()Y" -0.966473895319149
"150" 1 "SITTING" "tBodyGyrostd()Z" -0.941425920851064
"151" 1 "SITTING" "tGravityAccMagmean()" -0.948536786170213
"152" 1 "SITTING" "tGravityAccMagstd()" -0.927078418723404
"153" 1 "SITTING" "tGravityAccmean()X" 0.831509933404255
"154" 1 "SITTING" "tGravityAccmean()Y" 0.204411592680851
"155" 1 "SITTING" "tGravityAccmean()Z" 0.332043702765957
"156" 1 "SITTING" "tGravityAccstd()X" -0.968457145744681
"157" 1 "SITTING" "tGravityAccstd()Y" -0.935517055957447
"158" 1 "SITTING" "tGravityAccstd()Z" -0.949040933191489
"159" 1 "STANDING" "fBodyAccJerkmean()X" -0.994630797358491
"160" 1 "STANDING" "fBodyAccJerkmean()Y" -0.985418704528302
"161" 1 "STANDING" "fBodyAccJerkmean()Z" -0.990752166037736
"162" 1 "STANDING" "fBodyAccJerkmeanFreq()X" 0.314182940150943
"163" 1 "STANDING" "fBodyAccJerkmeanFreq()Y" 0.0391618954943396
"164" 1 "STANDING" "fBodyAccJerkmeanFreq()Z" 0.138581478749057
"165" 1 "STANDING" "fBodyAccJerkstd()X" -0.995073759245283
"166" 1 "STANDING" "fBodyAccJerkstd()Y" -0.987018226792453
"167" 1 "STANDING" "fBodyAccJerkstd()Z" -0.992349818113208
"168" 1 "STANDING" "fBodyAccMagmean()" -0.985356361132075
"169" 1 "STANDING" "fBodyAccMagmeanFreq()" 0.284555290773585
"170" 1 "STANDING" "fBodyAccMagstd()" -0.982313804716981
"171" 1 "STANDING" "fBodyAccmean()X" -0.995249932641509
"172" 1 "STANDING" "fBodyAccmean()Y" -0.977070847735849
"173" 1 "STANDING" "fBodyAccmean()Z" -0.985297098679245
"174" 1 "STANDING" "fBodyAccmeanFreq()X" 0.0865153619088679
"175" 1 "STANDING" "fBodyAccmeanFreq()Y" 0.117478948718868
"176" 1 "STANDING" "fBodyAccmeanFreq()Z" 0.244858585792453
"177" 1 "STANDING" "fBodyAccstd()X" -0.99602834509434
"178" 1 "STANDING" "fBodyAccstd()Y" -0.972293102075472
"179" 1 "STANDING" "fBodyAccstd()Z" -0.977937259622642
"180" 1 "STANDING" "fBodyBodyAccJerkMagmean()" -0.99254247754717
"181" 1 "STANDING" "fBodyBodyAccJerkMagmeanFreq()" 0.422220102264151
"182" 1 "STANDING" "fBodyBodyAccJerkMagstd()" -0.992536003396226
"183" 1 "STANDING" "fBodyBodyGyroJerkMagmean()" -0.994815376981132
"184" 1 "STANDING" "fBodyBodyGyroJerkMagmeanFreq()" 0.334498734301887
"185" 1 "STANDING" "fBodyBodyGyroJerkMagstd()" -0.994671123207547
"186" 1 "STANDING" "fBodyBodyGyroMagmean()" -0.984617623396226
"187" 1 "STANDING" "fBodyBodyGyroMagmeanFreq()" -0.0286057725328302
"188" 1 "STANDING" "fBodyBodyGyroMagstd()" -0.978466072075472
"189" 1 "STANDING" "fBodyGyromean()X" -0.986386786037736
"190" 1 "STANDING" "fBodyGyromean()Y" -0.988984455849057
"191" 1 "STANDING" "fBodyGyromean()Z" -0.980773122830189
"192" 1 "STANDING" "fBodyGyromeanFreq()X" -0.120293020603774
"193" 1 "STANDING" "fBodyGyromeanFreq()Y" -0.0447191978169811
"194" 1 "STANDING" "fBodyGyromeanFreq()Z" 0.100607635139623
"195" 1 "STANDING" "fBodyGyrostd()X" -0.987497128679245
"196" 1 "STANDING" "fBodyGyrostd()Y" -0.987107727735849
"197" 1 "STANDING" "fBodyGyrostd()Z" -0.98234533
"198" 1 "STANDING" "tBodyAccJerkMagmean()" -0.992367790566038
"199" 1 "STANDING" "tBodyAccJerkMagstd()" -0.993096209433962
"200" 1 "STANDING" "tBodyAccJerkmean()X" 0.0753766542264151
"201" 1 "STANDING" "tBodyAccJerkmean()Y" 0.00797573092830189
"202" 1 "STANDING" "tBodyAccJerkmean()Z" -0.00368524954709434
"203" 1 "STANDING" "tBodyAccJerkstd()X" -0.994604542264151
"204" 1 "STANDING" "tBodyAccJerkstd()Y" -0.98564873245283
"205" 1 "STANDING" "tBodyAccJerkstd()Z" -0.992251177358491
"206" 1 "STANDING" "tBodyAccMagmean()" -0.984278207358491
"207" 1 "STANDING" "tBodyAccMagstd()" -0.981942928867925
"208" 1 "STANDING" "tBodyAccmean()X" 0.278917629056604
"209" 1 "STANDING" "tBodyAccmean()Y" -0.0161375901037736
"210" 1 "STANDING" "tBodyAccmean()Z" -0.110601817735849
"211" 1 "STANDING" "tBodyAccstd()X" -0.995759901509434
"212" 1 "STANDING" "tBodyAccstd()Y" -0.973190056415094
"213" 1 "STANDING" "tBodyAccstd()Z" -0.979775876981132
"214" 1 "STANDING" "tBodyGyroJerkMagmean()" -0.994966790566038
"215" 1 "STANDING" "tBodyGyroJerkMagstd()" -0.994733238679245
"216" 1 "STANDING" "tBodyGyroJerkmean()X" -0.0996092129056604
"217" 1 "STANDING" "tBodyGyroJerkmean()Y" -0.0440627877924528
"218" 1 "STANDING" "tBodyGyroJerkmean()Z" -0.0489505466716981
"219" 1 "STANDING" "tBodyGyroJerkstd()X" -0.992945106981132
"220" 1 "STANDING" "tBodyGyroJerkstd()Y" -0.995137917358491
"221" 1 "STANDING" "tBodyGyroJerkstd()Z" -0.992108467169811
"222" 1 "STANDING" "tBodyGyroMagmean()" -0.976493792830189
"223" 1 "STANDING" "tBodyGyroMagstd()" -0.978690028679245
"224" 1 "STANDING" "tBodyGyromean()X" -0.0239877347979245
"225" 1 "STANDING" "tBodyGyromean()Y" -0.0593972209811321
"226" 1 "STANDING" "tBodyGyromean()Z" 0.074800751
"227" 1 "STANDING" "tBodyGyrostd()X" -0.987191946603774
"228" 1 "STANDING" "tBodyGyrostd()Y" -0.98773444
"229" 1 "STANDING" "tBodyGyrostd()Z" -0.980645626981132
"230" 1 "STANDING" "tGravityAccMagmean()" -0.984278207358491
"231" 1 "STANDING" "tGravityAccMagstd()" -0.981942928867925
"232" 1 "STANDING" "tGravityAccmean()X" 0.942952000377358
"233" 1 "STANDING" "tGravityAccmean()Y" -0.272983832264151
"234" 1 "STANDING" "tGravityAccmean()Z" 0.0134905823226415
"235" 1 "STANDING" "tGravityAccstd()X" -0.99376298509434
"236" 1 "STANDING" "tGravityAccstd()Y" -0.981225957924528
"237" 1 "STANDING" "tGravityAccstd()Z" -0.976324063584906
"238" 1 "WALKING" "fBodyAccJerkmean()X" -0.170546964549579
"239" 1 "WALKING" "fBodyAccJerkmean()Y" -0.0352255241130632
"240" 1 "WALKING" "fBodyAccJerkmean()Z" -0.468999224631579
"241" 1 "WALKING" "fBodyAccJerkmeanFreq()X" -0.209261973376842
"242" 1 "WALKING" "fBodyAccJerkmeanFreq()Y" -0.386237143210526
"243" 1 "WALKING" "fBodyAccJerkmeanFreq()Z" -0.185530281244211
"244" 1 "WALKING" "fBodyAccJerkstd()X" -0.133586606326316
"245" 1 "WALKING" "fBodyAccJerkstd()Y" 0.106739857136
"246" 1 "WALKING" "fBodyAccJerkstd()Z" -0.534713440421053
"247" 1 "WALKING" "fBodyAccMagmean()" -0.128623450629474
"248" 1 "WALKING" "fBodyAccMagmeanFreq()" 0.1906437244
"249" 1 "WALKING" "fBodyAccMagstd()" -0.398032586842105
"250" 1 "WALKING" "fBodyAccmean()X" -0.202794306326316
"251" 1 "WALKING" "fBodyAccmean()Y" 0.0897127264021053
"252" 1 "WALKING" "fBodyAccmean()Z" -0.331560117789474
"253" 1 "WALKING" "fBodyAccmeanFreq()X" -0.207548374494737
"254" 1 "WALKING" "fBodyAccmeanFreq()Y" 0.113093646103158
"255" 1 "WALKING" "fBodyAccmeanFreq()Z" 0.0497265196172632
"256" 1 "WALKING" "fBodyAccstd()X" -0.319134719578947
"257" 1 "WALKING" "fBodyAccstd()Y" 0.056040006846
"258" 1 "WALKING" "fBodyAccstd()Z" -0.279686751494737
"259" 1 "WALKING" "fBodyBodyAccJerkMagmean()" -0.0571194000343158
"260" 1 "WALKING" "fBodyBodyAccJerkMagmeanFreq()" 0.0938221807027368
"261" 1 "WALKING" "fBodyBodyAccJerkMagstd()" -0.103492403002105
"262" 1 "WALKING" "fBodyBodyGyroJerkMagmean()" -0.319308593778947
"263" 1 "WALKING" "fBodyBodyGyroJerkMagmeanFreq()" 0.190663448793684
"264" 1 "WALKING" "fBodyBodyGyroJerkMagstd()" -0.381601911789474
"265" 1 "WALKING" "fBodyBodyGyroMagmean()" -0.199252568986316
"266" 1 "WALKING" "fBodyBodyGyroMagmeanFreq()" 0.268844367525895
"267" 1 "WALKING" "fBodyBodyGyroMagstd()" -0.321017953894737
"268" 1 "WALKING" "fBodyGyromean()X" -0.339032197115789
"269" 1 "WALKING" "fBodyGyromean()Y" -0.103059416434737
"270" 1 "WALKING" "fBodyGyromean()Z" -0.255940940315789
"271" 1 "WALKING" "fBodyGyromeanFreq()X" 0.0147844986621053
"272" 1 "WALKING" "fBodyGyromeanFreq()Y" -0.0657746190010526
"273" 1 "WALKING" "fBodyGyromeanFreq()Z" 0.00077332156431579
"274" 1 "WALKING" "fBodyGyrostd()X" -0.516691938736842
"275" 1 "WALKING" "fBodyGyrostd()Y" -0.0335081597884211
"276" 1 "WALKING" "fBodyGyrostd()Z" -0.436562227473684
"277" 1 "WALKING" "tBodyAccJerkMagmean()" -0.141428809031579
"278" 1 "WALKING" "tBodyAccJerkMagstd()" -0.0744717500625263
"279" 1 "WALKING" "tBodyAccJerkmean()X" 0.0740416333157895
"280" 1 "WALKING" "tBodyAccJerkmean()Y" 0.0282721095884211
"281" 1 "WALKING" "tBodyAccJerkmean()Z" -0.00416840617789474
"282" 1 "WALKING" "tBodyAccJerkstd()X" -0.113615602435789
"283" 1 "WALKING" "tBodyAccJerkstd()Y" 0.0670025007684211
"284" 1 "WALKING" "tBodyAccJerkstd()Z" -0.502699788526316
"285" 1 "WALKING" "tBodyAccMagmean()" -0.136971176556842
"286" 1 "WALKING" "tBodyAccMagstd()" -0.219688645631579
"287" 1 "WALKING" "tBodyAccmean()X" 0.277330758736842
"288" 1 "WALKING" "tBodyAccmean()Y" -0.0173838185273684
"289" 1 "WALKING" "tBodyAccmean()Z" -0.111148103547368
"290" 1 "WALKING" "tBodyAccstd()X" -0.283740258842105
"291" 1 "WALKING" "tBodyAccstd()Y" 0.114461336747368
"292" 1 "WALKING" "tBodyAccstd()Z" -0.260027902210526
"293" 1 "WALKING" "tBodyGyroJerkMagmean()" -0.298703679084211
"294" 1 "WALKING" "tBodyGyroJerkMagstd()" -0.325324878894737
"295" 1 "WALKING" "tBodyGyroJerkmean()X" -0.0899975423705263
"296" 1 "WALKING" "tBodyGyroJerkmean()Y" -0.0398428709463158
"297" 1 "WALKING" "tBodyGyroJerkmean()Z" -0.0461309295021053
"298" 1 "WALKING" "tBodyGyroJerkstd()X" -0.207421854757895
"299" 1 "WALKING" "tBodyGyroJerkstd()Y" -0.304468510631579
"300" 1 "WALKING" "tBodyGyroJerkstd()Z" -0.404255452631579
"301" 1 "WALKING" "tBodyGyroMagmean()" -0.160979552536842
"302" 1 "WALKING" "tBodyGyroMagstd()" -0.186978364526316
"303" 1 "WALKING" "tBodyGyromean()X" -0.041830963526
"304" 1 "WALKING" "tBodyGyromean()Y" -0.0695300462115789
"305" 1 "WALKING" "tBodyGyromean()Z" 0.0849448173042105
"306" 1 "WALKING" "tBodyGyrostd()X" -0.473535485894737
"307" 1 "WALKING" "tBodyGyrostd()Y" -0.0546077686594737
"308" 1 "WALKING" "tBodyGyrostd()Z" -0.344266629473684
"309" 1 "WALKING" "tGravityAccMagmean()" -0.136971176556842
"310" 1 "WALKING" "tGravityAccMagstd()" -0.219688645631579
"311" 1 "WALKING" "tGravityAccmean()X" 0.935223201473684
"312" 1 "WALKING" "tGravityAccmean()Y" -0.282165021263158
"313" 1 "WALKING" "tGravityAccmean()Z" -0.068102864
"314" 1 "WALKING" "tGravityAccstd()X" -0.976609642526316
"315" 1 "WALKING" "tGravityAccstd()Y" -0.971305961473684
"316" 1 "WALKING" "tGravityAccstd()Z" -0.947717226105263
"317" 1 "WALKING_DOWNSTAIRS" "fBodyAccJerkmean()X" -0.0276638676122449
"318" 1 "WALKING_DOWNSTAIRS" "fBodyAccJerkmean()Y" -0.12866715764898
"319" 1 "WALKING_DOWNSTAIRS" "fBodyAccJerkmean()Z" -0.288334735714286
"320" 1 "WALKING_DOWNSTAIRS" "fBodyAccJerkmeanFreq()X" -0.253164344918367
"321" 1 "WALKING_DOWNSTAIRS" "fBodyAccJerkmeanFreq()Y" -0.33758970122449
"322" 1 "WALKING_DOWNSTAIRS" "fBodyAccJerkmeanFreq()Z" 0.00937223889183673
"323" 1 "WALKING_DOWNSTAIRS" "fBodyAccJerkstd()X" -0.0863278966402041
"324" 1 "WALKING_DOWNSTAIRS" "fBodyAccJerkstd()Y" -0.134580008877551
"325" 1 "WALKING_DOWNSTAIRS" "fBodyAccJerkstd()Z" -0.401721464285714
"326" 1 "WALKING_DOWNSTAIRS" "fBodyAccMagmean()" 0.0965845343040816
"327" 1 "WALKING_DOWNSTAIRS" "fBodyAccMagmeanFreq()" 0.119187142767959
"328" 1 "WALKING_DOWNSTAIRS" "fBodyAccMagstd()" -0.186530301073469
"329" 1 "WALKING_DOWNSTAIRS" "fBodyAccmean()X" 0.0382291831510204
"330" 1 "WALKING_DOWNSTAIRS" "fBodyAccmean()Y" 0.00154990783591837
"331" 1 "WALKING_DOWNSTAIRS" "fBodyAccmean()Z" -0.225574471693878
"332" 1 "WALKING_DOWNSTAIRS" "fBodyAccmeanFreq()X" -0.307395198687755
"333" 1 "WALKING_DOWNSTAIRS" "fBodyAccmeanFreq()Y" 0.0632200839346939
"334" 1 "WALKING_DOWNSTAIRS" "fBodyAccmeanFreq()Z" 0.294322700810612
"335" 1 "WALKING_DOWNSTAIRS" "fBodyAccstd()X" 0.0243308391387755
"336" 1 "WALKING_DOWNSTAIRS" "fBodyAccstd()Y" -0.112963739953061
"337" 1 "WALKING_DOWNSTAIRS" "fBodyAccstd()Z" -0.297927894693878
"338" 1 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMagmean()" 0.0262184949326531
"339" 1 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMagmeanFreq()" 0.0764915474326531
"340" 1 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMagstd()" -0.104052260726531
"341" 1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMagmean()" -0.281963359177551
"342" 1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMagmeanFreq()" 0.190000706165102
"343" 1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMagstd()" -0.391919876612245
"344" 1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroMagmean()" -0.185720285744898
"345" 1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroMagmeanFreq()" 0.349613895469388
"346" 1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroMagstd()" -0.398350390122449
"347" 1 "WALKING_DOWNSTAIRS" "fBodyGyromean()X" -0.352449631363265
"348" 1 "WALKING_DOWNSTAIRS" "fBodyGyromean()Y" -0.0557022524693878
"349" 1 "WALKING_DOWNSTAIRS" "fBodyGyromean()Z" -0.0318694271979592
"350" 1 "WALKING_DOWNSTAIRS" "fBodyGyromeanFreq()X" -0.100453729040816
"351" 1 "WALKING_DOWNSTAIRS" "fBodyGyromeanFreq()Y" 0.0825511487183673
"352" 1 "WALKING_DOWNSTAIRS" "fBodyGyromeanFreq()Z" -0.0756762067714286
"353" 1 "WALKING_DOWNSTAIRS" "fBodyGyrostd()X" -0.495422486102041
"354" 1 "WALKING_DOWNSTAIRS" "fBodyGyrostd()Y" -0.181414728657143
"355" 1 "WALKING_DOWNSTAIRS" "fBodyGyrostd()Z" -0.238443565306122
"356" 1 "WALKING_DOWNSTAIRS" "tBodyAccJerkMagmean()" -0.0894474807979592
"357" 1 "WALKING_DOWNSTAIRS" "tBodyAccJerkMagstd()" -0.0257877197081633
"358" 1 "WALKING_DOWNSTAIRS" "tBodyAccJerkmean()X" 0.0541553164897959
"359" 1 "WALKING_DOWNSTAIRS" "tBodyAccJerkmean()Y" 0.0296504490408163
"360" 1 "WALKING_DOWNSTAIRS" "tBodyAccJerkmean()Z" -0.0109719730183673
"361" 1 "WALKING_DOWNSTAIRS" "tBodyAccJerkstd()X" -0.012283860544898
"362" 1 "WALKING_DOWNSTAIRS" "tBodyAccJerkstd()Y" -0.101601390640816
"363" 1 "WALKING_DOWNSTAIRS" "tBodyAccJerkstd()Z" -0.345735032326531
"364" 1 "WALKING_DOWNSTAIRS" "tBodyAccMagmean()" 0.0271882914106122
"365" 1 "WALKING_DOWNSTAIRS" "tBodyAccMagstd()" 0.0198843506265306
"366" 1 "WALKING_DOWNSTAIRS" "tBodyAccmean()X" 0.289188320408163
"367" 1 "WALKING_DOWNSTAIRS" "tBodyAccmean()Y" -0.00991850461020408
"368" 1 "WALKING_DOWNSTAIRS" "tBodyAccmean()Z" -0.107566190908163
"369" 1 "WALKING_DOWNSTAIRS" "tBodyAccstd()X" 0.0300353383483878
